Time: 3.28s, Current Position: 936, Target Position: 2000.0
Time: 3.31s, Current Position: 938, Target Position: 2000.0
Time: 3.34s, Current Position: 996, Target Position: 2000.0
Time: 3.37s, Current Position: 1084, Target Position: 2000.0
Time: 3.41s, Current Position: 1181, Target Position: 2000.0
Time: 3.44s, Current Position: 1282, Target Position: 2000.0
Time: 3.47s, Current Position: 1380, Target Position: 2000.0
Time: 3.50s, Current Position: 1466, Target Position: 2000.0
Time: 3.53s, Current Position: 1528, Target Position: 2000.0
Time: 3.57s, Current Position: 1581, Target Position: 2000.0
Time: 3.60s, Current Position: 1624, Target Position: 2000.0
Time: 3.63s, Current Position: 1657, Target Position: 2000.0
Time: 3.66s, Current Position: 1682, Target Position: 2000.0
Time: 3.69s, Current Position: 1716, Target Position: 2000.0
Time: 3.73s, Current Position: 1764, Target Position: 2000.0
Time: 3.76s, Current Position: 1819, Target Position: 2000.0
Time: 3.79s, Current Position: 1863, Target Position: 2000.0
Time: 3.82s, Current Position: 1891, Target Position: 2000.0
Time: 3.85s, Current Position: 1908, Target Position: 2000.0
Time: 3.88s, Current Position: 1920, Target Position: 2000.0
Time: 3.92s, Current Position: 1930, Target Position: 2000.0
Time: 3.95s, Current Position: 1941, Target Position: 2000.0
Time: 3.98s, Current Position: 1951, Target Position: 2000.0
Time: 4.01s, Current Position: 1960, Target Position: 2000.0
Time: 4.05s, Current Position: 1970, Target Position: 2000.0
Time: 4.08s, Current Position: 1982, Target Position: 2000.0
Time: 4.11s, Current Position: 1993, Target Position: 2000.0
Time: 4.14s, Current Position: 2004, Target Position: 2000.0
