Time: 2.43s, Current Position: 2175, Target Position: 1500.0
Time: 2.46s, Current Position: 2171, Target Position: 1500.0
Time: 2.49s, Current Position: 2127, Target Position: 1500.0
Time: 2.52s, Current Position: 2048, Target Position: 1500.0
Time: 2.56s, Current Position: 1951, Target Position: 1500.0
Time: 2.59s, Current Position: 1863, Target Position: 1500.0
Time: 2.62s, Current Position: 1799, Target Position: 1500.0
Time: 2.65s, Current Position: 1766, Target Position: 1500.0
Time: 2.68s, Current Position: 1755, Target Position: 1500.0
Time: 2.72s, Current Position: 1748, Target Position: 1500.0
Time: 2.75s, Current Position: 1735, Target Position: 1500.0
Time: 2.78s, Current Position: 1716, Target Position: 1500.0
Time: 2.81s, Current Position: 1693, Target Position: 1500.0
Time: 2.84s, Current Position: 1670, Target Position: 1500.0
Time: 2.88s, Current Position: 1649, Target Position: 1500.0
Time: 2.91s, Current Position: 1636, Target Position: 1500.0
Time: 2.94s, Current Position: 1628, Target Position: 1500.0
Time: 2.97s, Current Position: 1622, Target Position: 1500.0
Time: 3.00s, Current Position: 1617, Target Position: 1500.0
Time: 3.04s, Current Position: 1612, Target Position: 1500.0
Time: 3.07s, Current Position: 1608, Target Position: 1500.0
Time: 3.10s, Current Position: 1605, Target Position: 1500.0
Time: 3.13s, Current Position: 1602, Target Position: 1500.0
Time: 3.16s, Current Position: 1600, Target Position: 1500.0
Time: 3.20s, Current Position: 1598, Target Position: 1500.0
Time: 3.23s, Current Position: 1595, Target Position: 1500.0
Time: 3.26s, Current Position: 1593, Target Position: 1500.0
Time: 3.29s, Current Position: 1590, Target Position: 1500.0
Time: 3.32s, Current Position: 1588, Target Position: 1500.0
Time: 3.36s, Current Position: 1587, Target Position: 1500.0
Time: 3.39s, Current Position: 1586, Target Position: 1500.0
Time: 3.42s, Current Position: 1584, Target Position: 1500.0
Time: 3.45s, Current Position: 1582, Target Position: 1500.0
Time: 3.48s, Current Position: 1581, Target Position: 1500.0
Time: 3.52s, Current Position: 1582, Target Position: 1500.0
Time: 3.55s, Current Position: 1581, Target Position: 1500.0
Time: 3.58s, Current Position: 1581, Target Position: 1500.0
Time: 3.61s, Current Position: 1581, Target Position: 1500.0
Time: 3.64s, Current Position: 1580, Target Position: 1500.0
Time: 3.68s, Current Position: 1581, Target Position: 1500.0
Time: 3.71s, Current Position: 1580, Target Position: 1500.0
Time: 3.74s, Current Position: 1580, Target Position: 1500.0
Time: 3.79s, Current Position: 1580, Target Position: 1500.0
Time: 3.83s, Current Position: 1580, Target Position: 1500.0
Time: 3.86s, Current Position: 1580, Target Position: 1500.0
Time: 3.89s, Current Position: 1580, Target Position: 1500.0
Time: 3.92s, Current Position: 1580, Target Position: 1500.0
Time: 3.95s, Current Position: 1580, Target Position: 1500.0
Time: 3.98s, Current Position: 1580, Target Position: 1500.0
Time: 4.01s, Current Position: 1580, Target Position: 1500.0
Time: 4.04s, Current Position: 1580, Target Position: 1500.0
Time: 4.08s, Current Position: 1580, Target Position: 1500.0
Time: 4.11s, Current Position: 1580, Target Position: 1500.0
Time: 4.14s, Current Position: 1580, Target Position: 1500.0
Time: 4.17s, Current Position: 1580, Target Position: 1500.0
Time: 4.20s, Current Position: 1580, Target Position: 1500.0
Time: 4.24s, Current Position: 1580, Target Position: 1500.0
Time: 4.27s, Current Position: 1580, Target Position: 1500.0
Time: 4.30s, Current Position: 1580, Target Position: 1500.0
Time: 4.33s, Current Position: 1580, Target Position: 1500.0
Time: 4.36s, Current Position: 1580, Target Position: 1500.0
Time: 4.40s, Current Position: 1580, Target Position: 1500.0
Time: 4.43s, Current Position: 1580, Target Position: 1500.0
Time: 4.46s, Current Position: 1580, Target Position: 1500.0
Time: 4.49s, Current Position: 1580, Target Position: 1500.0
Time: 4.52s, Current Position: 1579, Target Position: 1500.0
Time: 4.56s, Current Position: 1579, Target Position: 1500.0
Time: 4.59s, Current Position: 1579, Target Position: 1500.0
Time: 4.62s, Current Position: 1580, Target Position: 1500.0
Time: 4.65s, Current Position: 1579, Target Position: 1500.0
Time: 4.68s, Current Position: 1579, Target Position: 1500.0
Time: 4.72s, Current Position: 1579, Target Position: 1500.0
Time: 4.75s, Current Position: 1579, Target Position: 1500.0
Time: 4.78s, Current Position: 1579, Target Position: 1500.0
Time: 4.81s, Current Position: 1579, Target Position: 1500.0
Time: 4.84s, Current Position: 1579, Target Position: 1500.0
Time: 4.88s, Current Position: 1579, Target Position: 1500.0
Time: 4.91s, Current Position: 1579, Target Position: 1500.0
Time: 4.94s, Current Position: 1579, Target Position: 1500.0
Time: 4.97s, Current Position: 1578, Target Position: 1500.0
Time: 5.00s, Current Position: 1579, Target Position: 1500.0
Time: 5.04s, Current Position: 1578, Target Position: 1500.0
Time: 5.07s, Current Position: 1579, Target Position: 1500.0
Time: 5.10s, Current Position: 1578, Target Position: 1500.0
Time: 5.13s, Current Position: 1578, Target Position: 1500.0
Time: 5.16s, Current Position: 1578, Target Position: 1500.0
Time: 5.20s, Current Position: 1579, Target Position: 1500.0
Time: 5.23s, Current Position: 1578, Target Position: 1500.0
Time: 5.26s, Current Position: 1578, Target Position: 1500.0
Time: 5.29s, Current Position: 1578, Target Position: 1500.0
Time: 5.32s, Current Position: 1578, Target Position: 1500.0
Time: 5.36s, Current Position: 1578, Target Position: 1500.0
Time: 5.39s, Current Position: 1578, Target Position: 1500.0
Time: 5.42s, Current Position: 1578, Target Position: 1500.0
Time: 5.45s, Current Position: 1578, Target Position: 1500.0
Time: 5.48s, Current Position: 1578, Target Position: 1500.0
Time: 5.52s, Current Position: 1578, Target Position: 1500.0
Time: 5.55s, Current Position: 1578, Target Position: 1500.0
Time: 5.58s, Current Position: 1578, Target Position: 1500.0
Time: 5.61s, Current Position: 1578, Target Position: 1500.0
Time: 5.64s, Current Position: 1578, Target Position: 1500.0
Time: 5.68s, Current Position: 1578, Target Position: 1500.0
Time: 5.71s, Current Position: 1578, Target Position: 1500.0
Time: 5.74s, Current Position: 1578, Target Position: 1500.0
Time: 5.77s, Current Position: 1578, Target Position: 1500.0
Time: 5.80s, Current Position: 1578, Target Position: 1500.0
Time: 5.84s, Current Position: 1578, Target Position: 1500.0
Time: 5.87s, Current Position: 1578, Target Position: 1500.0
Time: 5.90s, Current Position: 1578, Target Position: 1500.0
Time: 5.93s, Current Position: 1578, Target Position: 1500.0
Time: 5.96s, Current Position: 1577, Target Position: 1500.0
Time: 6.00s, Current Position: 1574, Target Position: 1500.0
Time: 6.03s, Current Position: 1572, Target Position: 1500.0
Time: 6.06s, Current Position: 1568, Target Position: 1500.0
Time: 6.09s, Current Position: 1565, Target Position: 1500.0
Time: 6.12s, Current Position: 1561, Target Position: 1500.0
Time: 6.16s, Current Position: 1557, Target Position: 1500.0
Time: 6.19s, Current Position: 1554, Target Position: 1500.0
Time: 6.22s, Current Position: 1551, Target Position: 1500.0
Time: 6.25s, Current Position: 1547, Target Position: 1500.0
Time: 6.29s, Current Position: 1544, Target Position: 1500.0
Time: 6.32s, Current Position: 1540, Target Position: 1500.0
Time: 6.35s, Current Position: 1537, Target Position: 1500.0
Time: 6.38s, Current Position: 1534, Target Position: 1500.0
Time: 6.41s, Current Position: 1531, Target Position: 1500.0
Time: 6.44s, Current Position: 1528, Target Position: 1500.0
Time: 6.48s, Current Position: 1526, Target Position: 1500.0
Time: 6.51s, Current Position: 1524, Target Position: 1500.0
Time: 6.54s, Current Position: 1523, Target Position: 1500.0
Time: 6.57s, Current Position: 1522, Target Position: 1500.0
Time: 6.60s, Current Position: 1522, Target Position: 1500.0
Time: 6.64s, Current Position: 1520, Target Position: 1500.0
Time: 6.67s, Current Position: 1520, Target Position: 1500.0
Time: 6.70s, Current Position: 1520, Target Position: 1500.0
Time: 6.73s, Current Position: 1519, Target Position: 1500.0
Time: 6.76s, Current Position: 1518, Target Position: 1500.0
Time: 6.80s, Current Position: 1517, Target Position: 1500.0
Time: 6.83s, Current Position: 1516, Target Position: 1500.0
Time: 6.86s, Current Position: 1515, Target Position: 1500.0
Time: 6.89s, Current Position: 1514, Target Position: 1500.0
Time: 6.92s, Current Position: 1513, Target Position: 1500.0
Time: 6.96s, Current Position: 1511, Target Position: 1500.0
Time: 6.99s, Current Position: 1509, Target Position: 1500.0
Time: 7.02s, Current Position: 1508, Target Position: 1500.0
Time: 7.05s, Current Position: 1507, Target Position: 1500.0
Time: 7.08s, Current Position: 1506, Target Position: 1500.0
Time: 7.12s, Current Position: 1505, Target Position: 1500.0
Time: 7.15s, Current Position: 1504, Target Position: 1500.0
